query_id,domain,question_type,run,gold_count,tp,fp,fn,predicted_count,precision,recall,f1
SUP_EXT_0001,Superalloys,single,1,7,7,2,0,9,0.78,1,0.88
SUP_EXT_0002,Superalloys,single,1,6,6,2,0,8,0.75,1,0.86
SUP_EXT_0003,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0004,Superalloys,single,1,7,6,3,1,9,0.67,0.86,0.75
SUP_EXT_0005,Superalloys,multi,1,35,27,12,8,39,0.69,0.77,0.73
SUP_EXT_0006,Superalloys,single,1,9,7,3,2,10,0.7,0.78,0.74
SUP_EXT_0007,Superalloys,single,1,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0008,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0009,Superalloys,single,1,6,4,1,2,5,0.8,0.67,0.73
SUP_EXT_0010,Superalloys,multi,1,29,25,4,4,29,0.86,0.86,0.86
SUP_EXT_0011,Superalloys,single,1,6,3,1,3,4,0.75,0.5,0.6
SUP_EXT_0012,Superalloys,single,1,10,8,3,2,11,0.73,0.8,0.76
SUP_EXT_0013,Superalloys,single,1,6,6,0,0,6,1,1,1
SUP_EXT_0014,Superalloys,single,1,10,8,3,2,11,0.73,0.8,0.76
SUP_EXT_0015,Superalloys,single,1,11,9,1,2,10,0.9,0.82,0.86
SUP_EXT_0016,Superalloys,single,1,8,7,1,1,8,0.88,0.88,0.88
SUP_EXT_0017,Superalloys,multi,1,27,22,4,5,26,0.85,0.81,0.83
SUP_EXT_0018,Superalloys,single,1,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0019,Superalloys,single,1,11,11,1,0,12,0.92,1,0.96
SUP_EXT_0020,Superalloys,single,1,12,10,4,2,14,0.71,0.83,0.77
SUP_EXT_0021,Superalloys,single,1,9,8,3,1,11,0.73,0.89,0.8
SUP_EXT_0022,Superalloys,single,1,9,7,2,2,9,0.78,0.78,0.78
SUP_EXT_0023,Superalloys,single,1,11,8,2,3,10,0.8,0.73,0.76
SUP_EXT_0024,Superalloys,single,1,7,6,0,1,6,1,0.86,0.92
SUP_EXT_0025,Superalloys,single,1,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0026,Superalloys,multi,1,28,21,8,7,29,0.72,0.75,0.73
SUP_EXT_0027,Superalloys,single,1,7,7,2,0,9,0.78,1,0.88
SUP_EXT_0028,Superalloys,multi,1,38,30,7,8,37,0.81,0.79,0.8
SUP_EXT_0029,Superalloys,multi,1,21,16,5,5,21,0.76,0.76,0.76
SUP_EXT_0030,Superalloys,single,1,8,6,1,2,7,0.86,0.75,0.8
SUP_EXT_0031,Superalloys,single,1,8,7,2,1,9,0.78,0.88,0.83
SUP_EXT_0032,Superalloys,single,1,10,6,2,4,8,0.75,0.6,0.67
SUP_EXT_0033,Superalloys,multi,1,21,15,8,6,23,0.65,0.71,0.68
SUP_EXT_0034,Superalloys,single,1,4,4,1,0,5,0.8,1,0.89
SUP_EXT_0035,Superalloys,single,1,10,7,3,3,10,0.7,0.7,0.7
SUP_EXT_0036,Superalloys,single,1,7,7,1,0,8,0.88,1,0.94
SUP_EXT_0037,Superalloys,single,1,7,5,1,2,6,0.83,0.71,0.77
SUP_EXT_0038,Superalloys,single,1,9,8,2,1,10,0.8,0.89,0.84
SUP_EXT_0039,Superalloys,single,1,6,5,2,1,7,0.71,0.83,0.77
SUP_EXT_0040,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0041,Superalloys,single,1,12,10,2,2,12,0.83,0.83,0.83
SUP_EXT_0042,Superalloys,single,1,10,9,3,1,12,0.75,0.9,0.82
SUP_EXT_0043,Superalloys,single,1,7,4,1,3,5,0.8,0.57,0.67
SUP_EXT_0044,Superalloys,single,1,6,3,1,3,4,0.75,0.5,0.6
SUP_EXT_0045,Superalloys,single,1,6,6,1,0,7,0.86,1,0.92
SUP_EXT_0046,Superalloys,single,1,8,7,2,1,9,0.78,0.88,0.83
SUP_EXT_0047,Superalloys,single,1,9,7,2,2,9,0.78,0.78,0.78
SUP_EXT_0048,Superalloys,single,1,6,4,1,2,5,0.8,0.67,0.73
SUP_EXT_0049,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0050,Superalloys,single,1,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0051,Superalloys,single,1,7,6,0,1,6,1,0.86,0.92
SUP_EXT_0052,Superalloys,single,1,11,8,5,3,13,0.62,0.73,0.67
SUP_EXT_0053,Superalloys,single,1,6,6,1,0,7,0.86,1,0.92
SUP_EXT_0054,Superalloys,single,1,11,11,0,0,11,1,1,1
SUP_EXT_0055,Superalloys,single,1,15,13,2,2,15,0.87,0.87,0.87
SUP_EXT_0056,Superalloys,single,1,11,11,0,0,11,1,1,1
SUP_EXT_0057,Superalloys,single,1,9,9,0,0,9,1,1,1
SUP_EXT_0058,Superalloys,single,1,9,7,2,2,9,0.78,0.78,0.78
SUP_EXT_0059,Superalloys,single,1,8,7,1,1,8,0.88,0.88,0.88
SUP_EXT_0060,Superalloys,single,1,12,10,2,2,12,0.83,0.83,0.83
SUP_EXT_0061,Superalloys,single,1,11,8,1,3,9,0.89,0.73,0.8
SUP_EXT_0062,Superalloys,single,1,9,7,4,2,11,0.64,0.78,0.7
SUP_EXT_0063,Superalloys,single,1,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0064,Superalloys,single,1,8,5,3,3,8,0.62,0.62,0.62
SUP_EXT_0065,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0066,Superalloys,single,1,6,6,1,0,7,0.86,1,0.92
SUP_EXT_0067,Superalloys,single,1,10,8,1,2,9,0.89,0.8,0.84
SUP_EXT_0068,Superalloys,multi,1,27,22,4,5,26,0.85,0.81,0.83
SUP_EXT_0069,Superalloys,single,1,8,7,0,1,7,1,0.88,0.94
SUP_EXT_0070,Superalloys,single,1,12,8,2,4,10,0.8,0.67,0.73
SUP_EXT_0071,Superalloys,single,1,10,8,2,2,10,0.8,0.8,0.8
SUP_EXT_0072,Superalloys,single,1,11,8,1,3,9,0.89,0.73,0.8
SUP_EXT_0073,Superalloys,single,1,8,8,1,0,9,0.89,1,0.94
SUP_EXT_0074,Superalloys,single,1,13,10,2,3,12,0.83,0.77,0.8
SUP_EXT_0075,Superalloys,single,1,9,8,0,1,8,1,0.89,0.94
SUP_EXT_0076,Superalloys,single,1,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0077,Superalloys,single,1,12,10,1,2,11,0.91,0.83,0.87
