query_id,domain,question_type,run,faithfulness,answer_relevancy
BAT_QA_0001,Batteries,single,1,0.8061,0.9625
BAT_QA_0002,Batteries,single,1,0.674,0.6927
BAT_QA_0003,Batteries,multi,1,0.8803,0.9037
BAT_QA_0004,Batteries,single,1,0.9433,0.9927
BAT_QA_0005,Batteries,single,1,0.8973,0.9484
BAT_QA_0006,Batteries,single,1,0.857,0.9014
BAT_QA_0007,Batteries,multi,1,0.6746,0.7857
BAT_QA_0008,Batteries,single,1,0.995,0.9605
BAT_QA_0009,Batteries,single,1,0.6373,0.8195
BAT_QA_0010,Batteries,single,1,0.967,0.995
BAT_QA_0011,Batteries,single,1,0.7554,0.8308
BAT_QA_0012,Batteries,single,1,0.7836,0.995
BAT_QA_0013,Batteries,single,1,0.9383,0.995
BAT_QA_0014,Batteries,multi,1,0.7916,0.949
BAT_QA_0015,Batteries,multi,1,0.7832,0.9702
BAT_QA_0016,Batteries,single,1,0.5563,0.7545
BAT_QA_0017,Batteries,multi,1,0.6957,0.8526
BAT_QA_0018,Batteries,single,1,0.7912,0.8827
BAT_QA_0019,Batteries,single,1,0.7488,0.8593
BAT_QA_0020,Batteries,single,1,0.5642,0.7267
BAT_QA_0021,Batteries,single,1,0.6636,0.7603
BAT_QA_0022,Batteries,multi,1,0.6565,0.7712
BAT_QA_0023,Batteries,single,1,0.8784,0.8812
BAT_QA_0024,Batteries,single,1,0.7722,0.8635
BAT_QA_0025,Batteries,single,1,0.8238,0.9164
BAT_QA_0026,Batteries,multi,1,0.8241,0.7929
BAT_QA_0027,Batteries,single,1,0.995,0.939
BAT_QA_0028,Batteries,single,1,0.7461,0.7667
BAT_QA_0029,Batteries,single,1,0.9809,0.995
BAT_QA_0030,Batteries,single,1,0.995,0.9842
BAT_QA_0031,Batteries,multi,1,0.8658,0.995
BAT_QA_0032,Batteries,multi,1,0.663,0.8227
BAT_QA_0033,Batteries,single,1,0.7518,0.8543
BAT_QA_0034,Batteries,single,1,0.4516,0.7055
BAT_QA_0035,Batteries,multi,1,0.7212,0.9711
BAT_QA_0036,Batteries,single,1,0.8341,0.9509
BAT_QA_0037,Batteries,multi,1,0.9608,0.924
BAT_QA_0038,Batteries,single,1,0.5457,0.6822
BAT_QA_0039,Batteries,multi,1,0.7013,0.749
BAT_QA_0040,Batteries,single,1,0.9613,0.995
BAT_QA_0041,Batteries,single,1,0.8281,0.8409
BAT_QA_0042,Batteries,multi,1,0.6945,0.7764
BAT_QA_0043,Batteries,single,1,0.87,0.995
BAT_QA_0044,Batteries,single,1,0.7975,0.995
BAT_QA_0045,Batteries,multi,1,0.864,0.9214
BAT_QA_0046,Batteries,multi,1,0.7173,0.8643
BAT_QA_0047,Batteries,single,1,0.8743,0.9847
BAT_QA_0048,Batteries,single,1,0.8312,0.8385
BAT_QA_0049,Batteries,single,1,0.7576,0.8542
BAT_QA_0050,Batteries,single,1,0.7405,0.8428
BAT_QA_0051,Batteries,single,1,0.6234,0.68
BAT_QA_0052,Batteries,single,1,0.6118,0.77
BAT_QA_0053,Batteries,single,1,0.8292,0.7867
BAT_QA_0054,Batteries,single,1,0.9402,0.8591
BAT_QA_0055,Batteries,single,1,0.6916,0.8278
BAT_QA_0056,Batteries,single,1,0.995,0.995
BAT_QA_0057,Batteries,multi,1,0.6368,0.8125
BAT_QA_0058,Batteries,single,1,0.8871,0.995
BAT_QA_0059,Batteries,single,1,0.8893,0.8421
BAT_QA_0060,Batteries,multi,1,0.58,0.6882
BAT_QA_0061,Batteries,single,1,0.8405,0.8883
BAT_QA_0062,Batteries,multi,1,0.4459,0.6431
BAT_QA_0063,Batteries,single,1,0.7607,0.9167
BAT_QA_0064,Batteries,single,1,0.762,0.995
BAT_QA_0065,Batteries,single,1,0.9248,0.9142
BAT_QA_0066,Batteries,single,1,0.5749,0.7448
BAT_QA_0067,Batteries,single,1,0.5172,0.705
BAT_QA_0068,Batteries,multi,1,0.7091,0.7756
BAT_QA_0069,Batteries,single,1,0.8415,0.9237
BAT_QA_0070,Batteries,multi,1,0.6405,0.8954
BAT_QA_0071,Batteries,single,1,0.7304,0.9191
BAT_QA_0072,Batteries,multi,1,0.8661,0.9071
BAT_QA_0073,Batteries,single,1,0.8564,0.8995
BAT_QA_0074,Batteries,multi,1,0.7705,0.9339
BAT_QA_0075,Batteries,single,1,0.398,0.6204
BAT_QA_0076,Batteries,multi,1,0.7809,0.8686
BAT_QA_0077,Batteries,single,1,0.9076,0.8919
BAT_QA_0078,Batteries,single,1,0.7986,0.8909
BAT_QA_0079,Batteries,multi,1,0.8199,0.975
BAT_QA_0080,Batteries,single,1,0.7672,0.8076
BAT_QA_0081,Batteries,single,1,0.5987,0.9266
BAT_QA_0082,Batteries,multi,1,0.6127,0.836
BAT_QA_0083,Batteries,single,1,0.7117,0.5526
BAT_QA_0084,Batteries,single,1,0.6898,0.758
BAT_QA_0085,Batteries,multi,1,0.8681,0.8874
BAT_QA_0086,Batteries,multi,1,0.7945,0.7928
BAT_QA_0087,Batteries,single,1,0.7161,0.8303
BAT_QA_0088,Batteries,single,1,0.6377,0.7871
BAT_QA_0089,Batteries,single,1,0.8949,0.9145
BAT_QA_0090,Batteries,single,1,0.6761,0.8227
BAT_QA_0091,Batteries,single,1,0.6594,0.7239
BAT_QA_0092,Batteries,single,1,0.8424,0.926
BAT_QA_0093,Batteries,single,1,0.715,0.7719
BAT_QA_0094,Batteries,single,1,0.9338,0.9113
BAT_QA_0095,Batteries,single,1,0.7824,0.889
BAT_QA_0096,Batteries,single,1,0.7303,0.8014
BAT_QA_0097,Batteries,multi,1,0.5183,0.6002
BAT_QA_0098,Batteries,multi,1,0.6655,0.6997
BAT_QA_0099,Batteries,single,1,0.766,0.7668
BAT_QA_0100,Batteries,multi,1,0.5899,0.6744
BAT_QA_0101,Batteries,single,1,0.7177,0.8929
BAT_QA_0102,Batteries,multi,1,0.5818,0.778
BAT_QA_0103,Batteries,single,1,0.8176,0.7206
BAT_QA_0104,Batteries,multi,1,0.6116,0.6643
BAT_QA_0105,Batteries,single,1,0.9051,0.9477
BAT_QA_0106,Batteries,multi,1,0.9617,0.995
BAT_QA_0107,Batteries,multi,1,0.6438,0.7664
BAT_QA_0108,Batteries,single,1,0.6178,0.7886
BAT_QA_0109,Batteries,single,1,0.5734,0.6744
BAT_QA_0110,Batteries,single,1,0.4911,0.6407
BAT_QA_0111,Batteries,multi,1,0.995,0.995
BAT_QA_0112,Batteries,single,1,0.8312,0.9026
BAT_QA_0113,Batteries,multi,1,0.7672,0.7872
BAT_QA_0114,Batteries,multi,1,0.6411,0.7589
BAT_QA_0115,Batteries,multi,1,0.9121,0.9431
BAT_QA_0116,Batteries,single,1,0.995,0.995
BAT_QA_0117,Batteries,multi,1,0.8333,0.9333
BAT_QA_0118,Batteries,single,1,0.8529,0.9041
BAT_QA_0119,Batteries,single,1,0.6571,0.7012
BAT_QA_0120,Batteries,single,1,0.7141,0.8237
BAT_QA_0121,Batteries,single,1,0.7319,0.7977
BAT_QA_0122,Batteries,single,1,0.6157,0.7211
BAT_QA_0123,Batteries,single,1,0.995,0.995
BAT_QA_0124,Batteries,single,1,0.7413,0.7632
SEM_QA_0001,Semiconductors,single,1,0.5132,0.6701
SEM_QA_0002,Semiconductors,single,1,0.5849,0.6959
SEM_QA_0003,Semiconductors,single,1,0.795,0.8985
