query_id,domain,question_type,run,gold_count,tp,fp,fn,predicted_count,precision,recall,f1
BAT_EXT_0001,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0002,Batteries,single,1,11,9,2,2,11,0.82,0.82,0.82
BAT_EXT_0003,Batteries,single,1,12,10,2,2,12,0.83,0.83,0.83
BAT_EXT_0004,Batteries,single,1,10,7,1,3,8,0.88,0.7,0.78
BAT_EXT_0005,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0006,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0007,Batteries,single,1,12,10,3,2,13,0.77,0.83,0.8
BAT_EXT_0008,Batteries,single,1,12,9,3,3,12,0.75,0.75,0.75
BAT_EXT_0009,Batteries,single,1,7,6,2,1,8,0.75,0.86,0.8
BAT_EXT_0010,Batteries,single,1,9,7,1,2,8,0.88,0.78,0.83
BAT_EXT_0011,Batteries,single,1,10,8,3,2,11,0.73,0.8,0.76
BAT_EXT_0012,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0013,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0014,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0015,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0016,Batteries,multi,1,18,13,3,5,16,0.81,0.72,0.76
BAT_EXT_0017,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0018,Batteries,single,1,11,8,1,3,9,0.89,0.73,0.8
BAT_EXT_0019,Batteries,multi,1,22,14,5,8,19,0.74,0.64,0.69
BAT_EXT_0020,Batteries,single,1,12,11,2,1,13,0.85,0.92,0.88
BAT_EXT_0021,Batteries,single,1,8,6,1,2,7,0.86,0.75,0.8
BAT_EXT_0022,Batteries,single,1,12,7,3,5,10,0.7,0.58,0.63
BAT_EXT_0023,Batteries,single,1,9,8,1,1,9,0.89,0.89,0.89
BAT_EXT_0024,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0025,Batteries,single,1,13,10,3,3,13,0.77,0.77,0.77
BAT_EXT_0026,Batteries,single,1,11,9,1,2,10,0.9,0.82,0.86
BAT_EXT_0027,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0028,Batteries,single,1,11,7,2,4,9,0.78,0.64,0.7
BAT_EXT_0029,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0030,Batteries,single,1,7,7,2,0,9,0.78,1,0.88
