query_id,domain,question_type,run,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0001,Superalloys,single,1,0.8808,0.8387,0.8325,0.9038
SUP_QA_0002,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0003,Superalloys,multi,1,0.7969,0.7546,0.6696,0.8385
SUP_QA_0004,Superalloys,multi,1,0.7336,0.7901,0.9001,0.9454
SUP_QA_0005,Superalloys,single,1,0.706,0.7123,0.7987,0.8022
SUP_QA_0006,Superalloys,single,1,0.983,0.995,0.8942,0.995
SUP_QA_0007,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0008,Superalloys,single,1,0.995,0.9335,0.995,0.995
SUP_QA_0009,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0010,Superalloys,single,1,0.8823,0.8853,0.9777,0.995
SUP_QA_0011,Superalloys,single,1,0.9897,0.8332,0.9931,0.9555
SUP_QA_0012,Superalloys,single,1,0.863,0.8331,0.8847,0.9366
SUP_QA_0013,Superalloys,multi,1,0.8585,0.7625,0.8904,0.8662
SUP_QA_0014,Superalloys,single,1,0.9348,0.7836,0.9346,0.9284
SUP_QA_0015,Superalloys,single,1,0.995,0.8963,0.9818,0.995
SUP_QA_0016,Superalloys,single,1,0.9218,0.798,0.8308,0.8853
SUP_QA_0017,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0018,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0019,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0020,Superalloys,single,1,0.995,0.9819,0.9905,0.995
SUP_QA_0021,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0022,Superalloys,single,1,0.916,0.7775,0.8389,0.9095
SUP_QA_0023,Superalloys,single,1,0.9617,0.995,0.995,0.995
SUP_QA_0024,Superalloys,single,1,0.8879,0.8439,0.9213,0.9375
SUP_QA_0025,Superalloys,single,1,0.9369,0.995,0.995,0.995
SUP_QA_0026,Superalloys,single,1,0.9641,0.995,0.995,0.995
SUP_QA_0027,Superalloys,multi,1,0.7464,0.7196,0.8687,0.782
SUP_QA_0028,Superalloys,multi,1,0.995,0.9747,0.995,0.995
SUP_QA_0029,Superalloys,single,1,0.9072,0.7981,0.995,0.9446
SUP_QA_0030,Superalloys,multi,1,0.8138,0.7452,0.8135,0.8859
SUP_QA_0031,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0032,Superalloys,single,1,0.8629,0.7728,0.9558,0.995
SUP_QA_0033,Superalloys,single,1,0.8343,0.7699,0.9054,0.9288
SUP_QA_0034,Superalloys,multi,1,0.995,0.995,0.8575,0.995
SUP_QA_0035,Superalloys,single,1,0.995,0.984,0.995,0.995
SUP_QA_0036,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0037,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0038,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0039,Superalloys,single,1,0.995,0.781,0.875,0.9548
SUP_QA_0040,Superalloys,multi,1,0.995,0.995,0.9409,0.995
SUP_QA_0041,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0042,Superalloys,single,1,0.961,0.9321,0.995,0.9811
SUP_QA_0043,Superalloys,single,1,0.8378,0.7576,0.8302,0.9368
SUP_QA_0044,Superalloys,multi,1,0.9852,0.8425,0.9353,0.995
