query_id,domain,question_type,run,faithfulness,answer_relevancy,ref_faithfulness,ref_answer_relevancy
SUP_QA_0001,Superalloys,single,1,0.9042,0.8231,0.8737,0.7438
SUP_QA_0002,Superalloys,multi,1,0.9719,0.9317,0.9253,0.9183
SUP_QA_0003,Superalloys,multi,1,0.8134,0.7337,0.7411,0.6635
SUP_QA_0004,Superalloys,multi,1,0.7523,0.7598,0.643,0.6891
SUP_QA_0005,Superalloys,single,1,0.6194,0.7977,0.5954,0.7094
SUP_QA_0006,Superalloys,single,1,0.9372,0.995,0.8922,0.9896
SUP_QA_0007,Superalloys,single,1,0.963,0.995,0.9491,0.9896
SUP_QA_0008,Superalloys,single,1,0.995,0.9296,0.9836,0.8935
SUP_QA_0009,Superalloys,single,1,0.9646,0.995,0.9367,0.9524
SUP_QA_0010,Superalloys,single,1,0.8853,0.9108,0.8295,0.8873
SUP_QA_0011,Superalloys,single,1,0.9667,0.8288,0.9068,0.7692
SUP_QA_0012,Superalloys,single,1,0.896,0.8416,0.8189,0.7694
SUP_QA_0013,Superalloys,multi,1,0.8294,0.7149,0.794,0.6585
SUP_QA_0014,Superalloys,single,1,0.9193,0.7604,0.8826,0.6731
SUP_QA_0015,Superalloys,single,1,0.9721,0.9357,0.9466,0.8743
SUP_QA_0016,Superalloys,single,1,0.9189,0.8136,0.8657,0.7598
SUP_QA_0017,Superalloys,single,1,0.9872,0.995,0.9627,0.9732
SUP_QA_0018,Superalloys,single,1,0.995,0.995,0.9456,0.9782
SUP_QA_0019,Superalloys,single,1,0.9824,0.995,0.9482,0.9896
SUP_QA_0020,Superalloys,single,1,0.9832,0.9629,0.9279,0.9556
SUP_QA_0021,Superalloys,multi,1,0.9713,0.9637,0.9468,0.9351
SUP_QA_0022,Superalloys,single,1,0.9046,0.7253,0.8526,0.6997
SUP_QA_0023,Superalloys,single,1,0.995,0.995,0.958,0.9664
SUP_QA_0024,Superalloys,single,1,0.8656,0.8737,0.8177,0.7983
SUP_QA_0025,Superalloys,single,1,0.8769,0.995,0.8453,0.9838
SUP_QA_0026,Superalloys,single,1,0.9825,0.9913,0.9138,0.9896
SUP_QA_0027,Superalloys,multi,1,0.7182,0.7476,0.6382,0.6487
SUP_QA_0028,Superalloys,multi,1,0.9404,0.995,0.9285,0.974
SUP_QA_0029,Superalloys,single,1,0.8458,0.7715,0.8109,0.7087
SUP_QA_0030,Superalloys,multi,1,0.806,0.7356,0.7237,0.6341
SUP_QA_0031,Superalloys,single,1,0.9414,0.995,0.9256,0.9618
SUP_QA_0032,Superalloys,single,1,0.8899,0.7564,0.8012,0.7045
SUP_QA_0033,Superalloys,single,1,0.8226,0.796,0.7698,0.7057
SUP_QA_0034,Superalloys,multi,1,0.9799,0.9775,0.9495,0.9539
SUP_QA_0035,Superalloys,single,1,0.9589,0.9644,0.9357,0.9244
SUP_QA_0036,Superalloys,single,1,0.9852,0.995,0.9429,0.9896
SUP_QA_0037,Superalloys,single,1,0.961,0.995,0.9568,0.9732
SUP_QA_0038,Superalloys,single,1,0.9633,0.9782,0.9124,0.9608
SUP_QA_0039,Superalloys,single,1,0.971,0.8098,0.9391,0.7118
SUP_QA_0040,Superalloys,multi,1,0.995,0.9678,0.9735,0.9499
SUP_QA_0041,Superalloys,single,1,0.995,0.995,0.9472,0.9896
SUP_QA_0042,Superalloys,single,1,0.9102,0.9882,0.8762,0.9445
SUP_QA_0043,Superalloys,single,1,0.8501,0.7914,0.7722,0.7449
SUP_QA_0044,Superalloys,multi,1,0.9501,0.7872,0.9342,0.7479
SUP_QA_0045,Superalloys,single,1,0.8082,0.7737,0.7265,0.7094
SUP_QA_0046,Superalloys,single,1,0.7481,0.6442,0.6116,0.5286
SUP_QA_0047,Superalloys,multi,1,0.9905,0.8364,0.9455,0.7666
SUP_QA_0048,Superalloys,single,1,0.995,0.9495,0.9691,0.905
SUP_QA_0049,Superalloys,multi,1,0.8626,0.8385,0.8027,0.8113
SUP_QA_0050,Superalloys,single,1,0.9545,0.9284,0.9314,0.8949
SUP_QA_0051,Superalloys,single,1,0.9389,0.995,0.8956,0.9879
SUP_QA_0052,Superalloys,single,1,0.8548,0.8142,0.7733,0.7531
SUP_QA_0053,Superalloys,single,1,0.9696,0.796,0.9286,0.7437
SUP_QA_0054,Superalloys,multi,1,0.9452,0.9164,0.9129,0.862
SUP_QA_0055,Superalloys,single,1,0.8198,0.8157,0.756,0.7679
SUP_QA_0056,Superalloys,single,1,0.9238,0.8298,0.8177,0.7872
SUP_QA_0057,Superalloys,single,1,0.84,0.8654,0.7829,0.8241
SUP_QA_0058,Superalloys,single,1,0.7958,0.8711,0.7802,0.8539
SUP_QA_0059,Superalloys,single,1,0.9521,0.907,0.9347,0.8968
SUP_QA_0060,Superalloys,single,1,0.746,0.664,0.6711,0.5758
SUP_QA_0061,Superalloys,single,1,0.8371,0.8709,0.7625,0.8066
SUP_QA_0062,Superalloys,multi,1,0.7276,0.5778,0.6409,0.4287
SUP_QA_0063,Superalloys,single,1,0.9817,0.9851,0.9387,0.9703
SUP_QA_0064,Superalloys,multi,1,0.9126,0.9744,0.9108,0.9541
SUP_QA_0065,Superalloys,single,1,0.9898,0.9812,0.9611,0.9658
SUP_QA_0066,Superalloys,single,1,0.9438,0.8983,0.9295,0.8955
SUP_QA_0067,Superalloys,multi,1,0.9698,0.7143,0.9212,0.6399
SUP_QA_0068,Superalloys,single,1,0.9279,0.982,0.9194,0.9502
SUP_QA_0069,Superalloys,single,1,0.919,0.9247,0.8203,0.8614
SUP_QA_0070,Superalloys,multi,1,0.7784,0.711,0.7023,0.6246
SUP_QA_0071,Superalloys,single,1,0.8569,0.8641,0.8121,0.7802
SUP_QA_0072,Superalloys,multi,1,0.9927,0.7995,0.9116,0.7747
