query_id,domain,question_type,run,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0001,Superalloys,single,1,0.8946,0.887,0.8444,0.9374
SUP_QA_0002,Superalloys,multi,1,0.9833,0.995,0.995,0.9767
SUP_QA_0003,Superalloys,multi,1,0.8311,0.807,0.7219,0.8619
SUP_QA_0004,Superalloys,multi,1,0.7629,0.8397,0.9016,0.9556
SUP_QA_0005,Superalloys,single,1,0.7406,0.7556,0.8103,0.8379
SUP_QA_0006,Superalloys,single,1,0.9774,0.9949,0.8939,0.995
SUP_QA_0007,Superalloys,single,1,0.9759,0.995,0.9653,0.995
SUP_QA_0008,Superalloys,single,1,0.9808,0.9703,0.9806,0.9787
SUP_QA_0009,Superalloys,single,1,0.9708,0.995,0.995,0.9851
SUP_QA_0010,Superalloys,single,1,0.8726,0.9168,0.9747,0.9936
SUP_QA_0011,Superalloys,single,1,0.9753,0.8607,0.984,0.9428
SUP_QA_0012,Superalloys,single,1,0.8745,0.861,0.882,0.9301
SUP_QA_0013,Superalloys,multi,1,0.8786,0.8148,0.8961,0.8863
SUP_QA_0014,Superalloys,single,1,0.9381,0.8379,0.9352,0.9439
SUP_QA_0015,Superalloys,single,1,0.9819,0.9329,0.9819,0.9872
SUP_QA_0016,Superalloys,single,1,0.9161,0.8338,0.8417,0.8919
SUP_QA_0017,Superalloys,single,1,0.986,0.995,0.995,0.9916
SUP_QA_0018,Superalloys,single,1,0.9902,0.995,0.995,0.9846
SUP_QA_0019,Superalloys,single,1,0.9874,0.995,0.9918,0.9923
SUP_QA_0020,Superalloys,single,1,0.9817,0.9798,0.995,0.9865
SUP_QA_0021,Superalloys,multi,1,0.9733,0.995,0.9819,0.9885
SUP_QA_0022,Superalloys,single,1,0.9095,0.8299,0.8849,0.9233
SUP_QA_0023,Superalloys,single,1,0.949,0.995,0.9844,0.995
SUP_QA_0024,Superalloys,single,1,0.8831,0.8962,0.9341,0.9328
SUP_QA_0025,Superalloys,single,1,0.9366,0.995,0.995,0.995
SUP_QA_0026,Superalloys,single,1,0.9544,0.9924,0.995,0.9931
SUP_QA_0027,Superalloys,multi,1,0.7593,0.7799,0.8788,0.8224
SUP_QA_0028,Superalloys,multi,1,0.986,0.995,0.9876,0.9789
SUP_QA_0029,Superalloys,single,1,0.9377,0.8337,0.995,0.9374
SUP_QA_0030,Superalloys,multi,1,0.8384,0.7826,0.8362,0.8987
SUP_QA_0031,Superalloys,single,1,0.9769,0.995,0.995,0.9911
SUP_QA_0032,Superalloys,single,1,0.8391,0.8076,0.9841,0.9683
SUP_QA_0033,Superalloys,single,1,0.8419,0.7786,0.9133,0.9358
SUP_QA_0034,Superalloys,multi,1,0.984,0.995,0.8509,0.995
SUP_QA_0035,Superalloys,single,1,0.9902,0.9879,0.9825,0.995
SUP_QA_0036,Superalloys,single,1,0.9728,0.995,0.995,0.987
SUP_QA_0037,Superalloys,single,1,0.9902,0.995,0.9948,0.9816
SUP_QA_0038,Superalloys,single,1,0.9877,0.995,0.9912,0.9785
SUP_QA_0039,Superalloys,single,1,0.9777,0.826,0.8811,0.9762
SUP_QA_0040,Superalloys,multi,1,0.9902,0.995,0.9436,0.995
SUP_QA_0041,Superalloys,single,1,0.9871,0.995,0.995,0.9924
SUP_QA_0042,Superalloys,single,1,0.9622,0.9603,0.9702,0.9646
