query_id,domain,question_type,run,gold_count,tp,fp,fn,predicted_count,precision,recall,f1
SUP_EXT_0001,Superalloys,single,1,7,7,1,0,8,0.88,1.0,0.94
SUP_EXT_0002,Superalloys,single,1,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0003,Superalloys,single,1,7,7,1,0,8,0.88,1.0,0.94
SUP_EXT_0004,Superalloys,single,1,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0005,Superalloys,multi,1,35,28,10,7,38,0.74,0.8,0.77
SUP_EXT_0006,Superalloys,single,1,9,8,3,1,11,0.73,0.89,0.8
SUP_EXT_0007,Superalloys,single,1,6,6,0,0,6,1.0,1.0,1.0
SUP_EXT_0008,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0009,Superalloys,single,1,6,5,0,1,5,1.0,0.83,0.91
SUP_EXT_0010,Superalloys,multi,1,29,28,2,1,30,0.93,0.97,0.95
SUP_EXT_0011,Superalloys,single,1,6,5,2,1,7,0.71,0.83,0.77
SUP_EXT_0012,Superalloys,single,1,10,8,3,2,11,0.73,0.8,0.76
SUP_EXT_0013,Superalloys,single,1,6,6,0,0,6,1.0,1.0,1.0
SUP_EXT_0014,Superalloys,single,1,10,9,1,1,10,0.9,0.9,0.9
SUP_EXT_0015,Superalloys,single,1,11,9,2,2,11,0.82,0.82,0.82
SUP_EXT_0016,Superalloys,single,1,8,8,1,0,9,0.89,1.0,0.94
SUP_EXT_0017,Superalloys,multi,1,27,24,3,3,27,0.89,0.89,0.89
SUP_EXT_0018,Superalloys,single,1,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0019,Superalloys,single,1,11,11,1,0,12,0.92,1.0,0.96
SUP_EXT_0020,Superalloys,single,1,12,11,1,1,12,0.92,0.92,0.92
SUP_EXT_0021,Superalloys,single,1,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0022,Superalloys,single,1,9,7,2,2,9,0.78,0.78,0.78
SUP_EXT_0023,Superalloys,single,1,11,10,2,1,12,0.83,0.91,0.87
SUP_EXT_0024,Superalloys,single,1,7,7,0,0,7,1.0,1.0,1.0
SUP_EXT_0025,Superalloys,single,1,6,5,0,1,5,1.0,0.83,0.91
SUP_EXT_0026,Superalloys,multi,1,28,22,7,6,29,0.76,0.79,0.77
SUP_EXT_0027,Superalloys,single,1,7,7,1,0,8,0.88,1.0,0.94
SUP_EXT_0028,Superalloys,multi,1,38,33,6,5,39,0.85,0.87,0.86
SUP_EXT_0029,Superalloys,multi,1,21,19,3,2,22,0.86,0.9,0.88
SUP_EXT_0030,Superalloys,single,1,8,7,0,1,7,1.0,0.88,0.94
SUP_EXT_0031,Superalloys,single,1,8,6,1,2,7,0.86,0.75,0.8
SUP_EXT_0032,Superalloys,single,1,10,7,2,3,9,0.78,0.7,0.74
SUP_EXT_0033,Superalloys,multi,1,21,16,6,5,22,0.73,0.76,0.74
SUP_EXT_0034,Superalloys,single,1,4,4,0,0,4,1.0,1.0,1.0
SUP_EXT_0035,Superalloys,single,1,10,8,2,2,10,0.8,0.8,0.8
SUP_EXT_0036,Superalloys,single,1,7,7,1,0,8,0.88,1.0,0.94
SUP_EXT_0037,Superalloys,single,1,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0038,Superalloys,single,1,9,9,1,0,10,0.9,1.0,0.95
SUP_EXT_0039,Superalloys,single,1,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0040,Superalloys,single,1,7,6,0,1,6,1.0,0.86,0.92
SUP_EXT_0041,Superalloys,single,1,12,11,1,1,12,0.92,0.92,0.92
SUP_EXT_0042,Superalloys,single,1,10,9,2,1,11,0.82,0.9,0.86
SUP_EXT_0043,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0044,Superalloys,single,1,6,5,0,1,5,1.0,0.83,0.91
SUP_EXT_0045,Superalloys,single,1,6,6,0,0,6,1.0,1.0,1.0
SUP_EXT_0046,Superalloys,single,1,8,7,2,1,9,0.78,0.88,0.83
SUP_EXT_0047,Superalloys,single,1,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0048,Superalloys,single,1,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0049,Superalloys,single,1,7,6,1,1,7,0.86,0.86,0.86
