query_id,domain,question_type,run,method,gold_count,tp,fp,fn,predicted_count,precision,recall,f1
SUP_EXT_0001,Superalloys,single,1,w/o Structure,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0002,Superalloys,single,1,w/o Structure,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0003,Superalloys,single,1,w/o Structure,7,7,2,0,9,0.78,1.0,0.88
SUP_EXT_0004,Superalloys,single,1,w/o Structure,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0005,Superalloys,multi,1,w/o Structure,35,23,11,12,34,0.68,0.66,0.67
SUP_EXT_0006,Superalloys,single,1,w/o Structure,9,8,3,1,11,0.73,0.89,0.8
SUP_EXT_0007,Superalloys,single,1,w/o Structure,6,6,0,0,6,1.0,1.0,1.0
SUP_EXT_0008,Superalloys,single,1,w/o Structure,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0009,Superalloys,single,1,w/o Structure,6,4,1,2,5,0.8,0.67,0.73
SUP_EXT_0010,Superalloys,multi,1,w/o Structure,29,26,3,3,29,0.9,0.9,0.9
SUP_EXT_0011,Superalloys,single,1,w/o Structure,6,4,3,2,7,0.57,0.67,0.62
SUP_EXT_0012,Superalloys,single,1,w/o Structure,10,8,3,2,11,0.73,0.8,0.76
SUP_EXT_0013,Superalloys,single,1,w/o Structure,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0014,Superalloys,single,1,w/o Structure,10,9,1,1,10,0.9,0.9,0.9
SUP_EXT_0015,Superalloys,single,1,w/o Structure,11,9,2,2,11,0.82,0.82,0.82
SUP_EXT_0016,Superalloys,single,1,w/o Structure,8,7,1,1,8,0.88,0.88,0.88
SUP_EXT_0017,Superalloys,multi,1,w/o Structure,27,21,4,6,25,0.84,0.78,0.81
SUP_EXT_0018,Superalloys,single,1,w/o Structure,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0019,Superalloys,single,1,w/o Structure,11,10,1,1,11,0.91,0.91,0.91
SUP_EXT_0020,Superalloys,single,1,w/o Structure,12,10,1,2,11,0.91,0.83,0.87
SUP_EXT_0021,Superalloys,single,1,w/o Structure,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0022,Superalloys,single,1,w/o Structure,9,7,2,2,9,0.78,0.78,0.78
SUP_EXT_0023,Superalloys,single,1,w/o Structure,11,10,3,1,13,0.77,0.91,0.83
SUP_EXT_0024,Superalloys,single,1,w/o Structure,7,7,0,0,7,1.0,1.0,1.0
SUP_EXT_0025,Superalloys,single,1,w/o Structure,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0026,Superalloys,multi,1,w/o Structure,28,18,7,10,25,0.72,0.64,0.68
SUP_EXT_0027,Superalloys,single,1,w/o Structure,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0028,Superalloys,multi,1,w/o Structure,38,27,7,11,34,0.79,0.71,0.75
SUP_EXT_0029,Superalloys,multi,1,w/o Structure,21,16,4,5,20,0.8,0.76,0.78
SUP_EXT_0030,Superalloys,single,1,w/o Structure,8,7,1,1,8,0.88,0.88,0.88
SUP_EXT_0031,Superalloys,single,1,w/o Structure,8,6,1,2,7,0.86,0.75,0.8
SUP_EXT_0032,Superalloys,single,1,w/o Structure,10,7,2,3,9,0.78,0.7,0.74
SUP_EXT_0033,Superalloys,multi,1,w/o Structure,21,14,6,7,20,0.7,0.67,0.68
SUP_EXT_0034,Superalloys,single,1,w/o Structure,4,0,0,4,0,0.0,0.0,0.0
SUP_EXT_0035,Superalloys,single,1,w/o Structure,10,7,2,3,9,0.78,0.7,0.74
SUP_EXT_0036,Superalloys,single,1,w/o Structure,7,7,1,0,8,0.88,1.0,0.94
SUP_EXT_0037,Superalloys,single,1,w/o Structure,7,6,3,1,9,0.67,0.86,0.75
SUP_EXT_0038,Superalloys,single,1,w/o Structure,9,9,2,0,11,0.82,1.0,0.9
SUP_EXT_0039,Superalloys,single,1,w/o Structure,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0040,Superalloys,single,1,w/o Structure,7,5,1,2,6,0.83,0.71,0.77
SUP_EXT_0041,Superalloys,single,1,w/o Structure,12,10,1,2,11,0.91,0.83,0.87
SUP_EXT_0042,Superalloys,single,1,w/o Structure,10,9,2,1,11,0.82,0.9,0.86
SUP_EXT_0043,Superalloys,single,1,w/o Structure,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0044,Superalloys,single,1,w/o Structure,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0045,Superalloys,single,1,w/o Structure,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0046,Superalloys,single,1,w/o Structure,8,6,2,2,8,0.75,0.75,0.75
SUP_EXT_0047,Superalloys,single,1,w/o Structure,9,7,1,2,8,0.88,0.78,0.83
SUP_EXT_0048,Superalloys,single,1,w/o Structure,6,6,1,0,7,0.86,1.0,0.92
SUP_EXT_0049,Superalloys,single,1,w/o Structure,7,6,2,1,8,0.75,0.86,0.8
SUP_EXT_0050,Superalloys,single,1,w/o Structure,6,6,2,0,8,0.75,1.0,0.86
SUP_EXT_0051,Superalloys,single,1,w/o Structure,7,7,1,0,8,0.88,1.0,0.94
SUP_EXT_0052,Superalloys,single,1,w/o Structure,11,8,3,3,11,0.73,0.73,0.73
SUP_EXT_0053,Superalloys,single,1,w/o Structure,6,5,1,1,6,0.83,0.83,0.83
SUP_EXT_0054,Superalloys,single,1,w/o Structure,11,10,0,1,10,1.0,0.91,0.95
SUP_EXT_0055,Superalloys,single,1,w/o Structure,15,12,2,3,14,0.86,0.8,0.83
SUP_EXT_0056,Superalloys,single,1,w/o Structure,11,11,1,0,12,0.92,1.0,0.96
SUP_EXT_0057,Superalloys,single,1,w/o Structure,9,9,2,0,11,0.82,1.0,0.9
SUP_EXT_0058,Superalloys,single,1,w/o Structure,9,8,2,1,10,0.8,0.89,0.84
SUP_EXT_0059,Superalloys,single,1,w/o Structure,8,7,1,1,8,0.88,0.88,0.88
SUP_EXT_0060,Superalloys,single,1,w/o Structure,12,9,2,3,11,0.82,0.75,0.78
SUP_EXT_0061,Superalloys,single,1,w/o Structure,11,11,0,0,11,1.0,1.0,1.0
SUP_EXT_0062,Superalloys,single,1,w/o Structure,9,8,1,1,9,0.89,0.89,0.89
SUP_EXT_0063,Superalloys,single,1,w/o Structure,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0064,Superalloys,single,1,w/o Structure,8,7,2,1,9,0.78,0.88,0.83
SUP_EXT_0065,Superalloys,single,1,w/o Structure,7,6,1,1,7,0.86,0.86,0.86
SUP_EXT_0066,Superalloys,single,1,w/o Structure,6,5,2,1,7,0.71,0.83,0.77
SUP_EXT_0067,Superalloys,single,1,w/o Structure,10,9,3,1,12,0.75,0.9,0.82
SUP_EXT_0068,Superalloys,multi,1,w/o Structure,27,27,1,0,28,0.96,1.0,0.98
SUP_EXT_0069,Superalloys,single,1,w/o Structure,8,8,1,0,9,0.89,1.0,0.94
SUP_EXT_0070,Superalloys,single,1,w/o Structure,12,10,2,2,12,0.83,0.83,0.83
SUP_EXT_0071,Superalloys,single,1,w/o Structure,10,9,1,1,10,0.9,0.9,0.9
