query_id,domain,question_type,run,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0001,Superalloys,single,1,0.8737,0.7438,0.7471,0.7756
SUP_QA_0002,Superalloys,multi,1,0.9253,0.9183,0.995,0.8653
SUP_QA_0003,Superalloys,multi,1,0.7411,0.6635,0.5747,0.6645
SUP_QA_0004,Superalloys,multi,1,0.643,0.6891,0.8424,0.8139
SUP_QA_0005,Superalloys,single,1,0.5954,0.7094,0.6967,0.649
SUP_QA_0006,Superalloys,single,1,0.8922,0.9896,0.8243,0.9643
SUP_QA_0007,Superalloys,single,1,0.9491,0.9896,0.9786,0.8834
SUP_QA_0008,Superalloys,single,1,0.9836,0.8935,0.995,0.8973
SUP_QA_0009,Superalloys,single,1,0.9367,0.9524,0.9579,0.9008
SUP_QA_0010,Superalloys,single,1,0.8295,0.8873,0.9434,0.9169
SUP_QA_0011,Superalloys,single,1,0.9068,0.7692,0.9397,0.8363
SUP_QA_0012,Superalloys,single,1,0.8189,0.7694,0.8453,0.8353
SUP_QA_0013,Superalloys,multi,1,0.794,0.6585,0.8782,0.7451
SUP_QA_0014,Superalloys,single,1,0.8826,0.6731,0.8974,0.8215
SUP_QA_0015,Superalloys,single,1,0.9466,0.8743,0.9578,0.9031
SUP_QA_0016,Superalloys,single,1,0.8657,0.7598,0.7544,0.7634
SUP_QA_0017,Superalloys,single,1,0.9627,0.9732,0.954,0.9024
SUP_QA_0018,Superalloys,single,1,0.9456,0.9782,0.977,0.8876
SUP_QA_0019,Superalloys,single,1,0.9482,0.9896,0.9684,0.898
SUP_QA_0020,Superalloys,single,1,0.9279,0.9556,0.9305,0.8877
SUP_QA_0021,Superalloys,multi,1,0.9468,0.9351,0.9432,0.8562
SUP_QA_0022,Superalloys,single,1,0.8526,0.6997,0.856,0.8799
SUP_QA_0023,Superalloys,single,1,0.958,0.9664,0.9945,0.9292
SUP_QA_0024,Superalloys,single,1,0.8177,0.7983,0.8872,0.828
SUP_QA_0025,Superalloys,single,1,0.8453,0.9838,0.995,0.8615
