query_id,domain,question_type,run,faithfulness,answer_relevancy
BAT_QA_0001,Batteries,single,1,0.9121,0.9767
BAT_QA_0002,Batteries,single,1,0.8253,0.773
BAT_QA_0003,Batteries,multi,1,0.9519,0.9378
BAT_QA_0004,Batteries,single,1,0.9729,0.995
BAT_QA_0005,Batteries,single,1,0.9427,0.964
BAT_QA_0006,Batteries,single,1,0.8772,0.9253
BAT_QA_0007,Batteries,multi,1,0.7912,0.88
BAT_QA_0008,Batteries,single,1,0.995,0.9611
BAT_QA_0009,Batteries,single,1,0.6895,0.859
BAT_QA_0010,Batteries,single,1,0.995,0.995
BAT_QA_0011,Batteries,single,1,0.8147,0.9044
BAT_QA_0012,Batteries,single,1,0.9157,0.995
BAT_QA_0013,Batteries,single,1,0.9505,0.9771
BAT_QA_0014,Batteries,multi,1,0.864,0.9637
BAT_QA_0015,Batteries,multi,1,0.859,0.995
BAT_QA_0016,Batteries,single,1,0.6998,0.8188
BAT_QA_0017,Batteries,multi,1,0.7923,0.9101
BAT_QA_0018,Batteries,single,1,0.8342,0.887
BAT_QA_0019,Batteries,single,1,0.8362,0.8986
BAT_QA_0020,Batteries,single,1,0.7138,0.7942
BAT_QA_0021,Batteries,single,1,0.7698,0.8202
BAT_QA_0022,Batteries,multi,1,0.7111,0.8156
BAT_QA_0023,Batteries,single,1,0.9409,0.9149
BAT_QA_0024,Batteries,single,1,0.881,0.8835
BAT_QA_0025,Batteries,single,1,0.9115,0.8995
BAT_QA_0026,Batteries,multi,1,0.9073,0.8361
BAT_QA_0027,Batteries,single,1,0.995,0.9642
BAT_QA_0028,Batteries,single,1,0.83,0.8174
BAT_QA_0029,Batteries,single,1,0.976,0.995
BAT_QA_0030,Batteries,single,1,0.995,0.9798
BAT_QA_0031,Batteries,multi,1,0.9269,0.995
BAT_QA_0032,Batteries,multi,1,0.7514,0.8967
BAT_QA_0033,Batteries,single,1,0.8787,0.9019
BAT_QA_0034,Batteries,single,1,0.5874,0.7586
BAT_QA_0035,Batteries,multi,1,0.8597,0.9947
BAT_QA_0036,Batteries,single,1,0.9636,0.9902
BAT_QA_0037,Batteries,multi,1,0.995,0.9493
BAT_QA_0038,Batteries,single,1,0.6809,0.7662
BAT_QA_0039,Batteries,multi,1,0.8024,0.7955
BAT_QA_0040,Batteries,single,1,0.995,0.995
BAT_QA_0041,Batteries,single,1,0.8683,0.8554
BAT_QA_0042,Batteries,multi,1,0.7983,0.8505
BAT_QA_0043,Batteries,single,1,0.9382,0.995
BAT_QA_0044,Batteries,single,1,0.8987,0.995
BAT_QA_0045,Batteries,multi,1,0.905,0.9648
BAT_QA_0046,Batteries,multi,1,0.7725,0.9308
BAT_QA_0047,Batteries,single,1,0.9278,0.9923
BAT_QA_0048,Batteries,single,1,0.9165,0.895
BAT_QA_0049,Batteries,single,1,0.8511,0.9214
BAT_QA_0050,Batteries,single,1,0.8689,0.8997
BAT_QA_0051,Batteries,single,1,0.7596,0.7837
BAT_QA_0052,Batteries,single,1,0.7434,0.8543
BAT_QA_0053,Batteries,single,1,0.9115,0.8263
BAT_QA_0054,Batteries,single,1,0.995,0.9619
BAT_QA_0055,Batteries,single,1,0.7806,0.8835
BAT_QA_0056,Batteries,single,1,0.995,0.995
BAT_QA_0057,Batteries,multi,1,0.7485,0.8694
BAT_QA_0058,Batteries,single,1,0.9815,0.995
BAT_QA_0059,Batteries,single,1,0.9486,0.8609
BAT_QA_0060,Batteries,multi,1,0.7177,0.7521
BAT_QA_0061,Batteries,single,1,0.9339,0.9352
BAT_QA_0062,Batteries,multi,1,0.6272,0.7362
BAT_QA_0063,Batteries,single,1,0.8636,0.9623
BAT_QA_0064,Batteries,single,1,0.8195,0.995
BAT_QA_0065,Batteries,single,1,0.9819,0.9296
BAT_QA_0066,Batteries,single,1,0.6586,0.8315
BAT_QA_0067,Batteries,single,1,0.6851,0.7354
BAT_QA_0068,Batteries,multi,1,0.824,0.8977
BAT_QA_0069,Batteries,single,1,0.9319,0.9679
BAT_QA_0070,Batteries,multi,1,0.7707,0.9142
BAT_QA_0071,Batteries,single,1,0.8551,0.938
BAT_QA_0072,Batteries,multi,1,0.9302,0.9444
BAT_QA_0073,Batteries,single,1,0.9549,0.9028
BAT_QA_0074,Batteries,multi,1,0.8722,0.927
BAT_QA_0075,Batteries,single,1,0.5997,0.7246
BAT_QA_0076,Batteries,multi,1,0.879,0.896
BAT_QA_0077,Batteries,single,1,0.9638,0.9176
BAT_QA_0078,Batteries,single,1,0.9193,0.912
BAT_QA_0079,Batteries,multi,1,0.8893,0.995
BAT_QA_0080,Batteries,single,1,0.8733,0.853
BAT_QA_0081,Batteries,single,1,0.7597,0.9821
