query_id,domain,question_type,run,gold_count,tp,fp,fn,predicted_count,precision,recall,f1
BAT_EXT_0001,Batteries,single,1,8,4,2,4,6,0.67,0.5,0.57
BAT_EXT_0002,Batteries,single,1,11,9,2,2,11,0.82,0.82,0.82
BAT_EXT_0003,Batteries,single,1,12,9,3,3,12,0.75,0.75,0.75
BAT_EXT_0004,Batteries,single,1,10,7,2,3,9,0.78,0.7,0.74
BAT_EXT_0005,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0006,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0007,Batteries,single,1,12,8,4,4,12,0.67,0.67,0.67
BAT_EXT_0008,Batteries,single,1,12,8,3,4,11,0.73,0.67,0.7
BAT_EXT_0009,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0010,Batteries,single,1,9,7,1,2,8,0.88,0.78,0.83
BAT_EXT_0011,Batteries,single,1,10,7,3,3,10,0.7,0.7,0.7
BAT_EXT_0012,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0013,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0014,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0015,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0016,Batteries,multi,1,18,11,5,7,16,0.69,0.61,0.65
BAT_EXT_0017,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0018,Batteries,single,1,11,8,3,3,11,0.73,0.73,0.73
BAT_EXT_0019,Batteries,multi,1,22,13,6,9,19,0.68,0.59,0.63
BAT_EXT_0020,Batteries,single,1,12,9,2,3,11,0.82,0.75,0.78
BAT_EXT_0021,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0022,Batteries,single,1,12,7,3,5,10,0.7,0.58,0.63
BAT_EXT_0023,Batteries,single,1,9,7,1,2,8,0.88,0.78,0.83
BAT_EXT_0024,Batteries,single,1,6,5,0,1,5,1,0.83,0.91
BAT_EXT_0025,Batteries,single,1,13,10,2,3,12,0.83,0.77,0.8
BAT_EXT_0026,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0027,Batteries,single,1,11,8,3,3,11,0.73,0.73,0.73
BAT_EXT_0028,Batteries,single,1,11,7,2,4,9,0.78,0.64,0.7
BAT_EXT_0029,Batteries,single,1,9,5,2,4,7,0.71,0.56,0.63
BAT_EXT_0030,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0031,Batteries,single,1,7,4,2,3,6,0.67,0.57,0.62
BAT_EXT_0032,Batteries,single,1,12,9,2,3,11,0.82,0.75,0.78
BAT_EXT_0033,Batteries,single,1,6,5,0,1,5,1,0.83,0.91
BAT_EXT_0034,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0035,Batteries,single,1,12,0,1,12,1,0,0,0
BAT_EXT_0036,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0037,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0038,Batteries,single,1,12,8,3,4,11,0.73,0.67,0.7
BAT_EXT_0039,Batteries,single,1,12,9,3,3,12,0.75,0.75,0.75
BAT_EXT_0040,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0041,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0042,Batteries,single,1,11,7,3,4,10,0.7,0.64,0.67
BAT_EXT_0043,Batteries,single,1,10,6,2,4,8,0.75,0.6,0.67
BAT_EXT_0044,Batteries,single,1,10,6,3,4,9,0.67,0.6,0.63
BAT_EXT_0045,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0046,Batteries,single,1,11,8,3,3,11,0.73,0.73,0.73
BAT_EXT_0047,Batteries,single,1,10,7,2,3,9,0.78,0.7,0.74
BAT_EXT_0048,Batteries,multi,1,21,12,6,9,18,0.67,0.57,0.62
BAT_EXT_0049,Batteries,single,1,12,9,2,3,11,0.82,0.75,0.78
BAT_EXT_0050,Batteries,multi,1,33,26,5,7,31,0.84,0.79,0.81
BAT_EXT_0051,Batteries,single,1,13,9,3,4,12,0.75,0.69,0.72
BAT_EXT_0052,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0053,Batteries,single,1,4,4,0,0,4,1,1,1
BAT_EXT_0054,Batteries,multi,1,25,17,6,8,23,0.74,0.68,0.71
BAT_EXT_0055,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0056,Batteries,single,1,9,6,0,3,6,1,0.67,0.8
BAT_EXT_0057,Batteries,multi,1,22,13,6,9,19,0.68,0.59,0.63
BAT_EXT_0058,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0059,Batteries,single,1,11,9,1,2,10,0.9,0.82,0.86
BAT_EXT_0060,Batteries,single,1,6,6,2,0,8,0.75,1,0.86
BAT_EXT_0061,Batteries,single,1,12,9,3,3,12,0.75,0.75,0.75
BAT_EXT_0062,Batteries,multi,1,27,0,0,27,0,0,0,0
BAT_EXT_0063,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0064,Batteries,single,1,6,4,0,2,4,1,0.67,0.8
BAT_EXT_0065,Batteries,single,1,10,5,3,5,8,0.62,0.5,0.55
BAT_EXT_0066,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0067,Batteries,single,1,10,6,2,4,8,0.75,0.6,0.67
BAT_EXT_0068,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0069,Batteries,single,1,10,6,3,4,9,0.67,0.6,0.63
BAT_EXT_0070,Batteries,single,1,10,7,2,3,9,0.78,0.7,0.74
BAT_EXT_0071,Batteries,single,1,12,8,4,4,12,0.67,0.67,0.67
BAT_EXT_0072,Batteries,single,1,12,8,4,4,12,0.67,0.67,0.67
BAT_EXT_0073,Batteries,single,1,7,4,0,3,4,1,0.57,0.73
BAT_EXT_0074,Batteries,single,1,13,11,2,2,13,0.85,0.85,0.85
BAT_EXT_0075,Batteries,single,1,6,5,0,1,5,1,0.83,0.91
BAT_EXT_0076,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0077,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0078,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0079,Batteries,single,1,9,0,0,9,0,0,0,0
BAT_EXT_0080,Batteries,single,1,8,7,1,1,8,0.88,0.88,0.88
BAT_EXT_0081,Batteries,single,1,6,5,0,1,5,1,0.83,0.91
BAT_EXT_0082,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0083,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0084,Batteries,single,1,8,6,0,2,6,1,0.75,0.86
BAT_EXT_0085,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0086,Batteries,multi,1,18,11,4,7,15,0.73,0.61,0.66
BAT_EXT_0087,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0088,Batteries,single,1,7,0,3,7,3,0,0,0
BAT_EXT_0089,Batteries,single,1,10,7,3,3,10,0.7,0.7,0.7
BAT_EXT_0090,Batteries,single,1,12,10,3,2,13,0.77,0.83,0.8
BAT_EXT_0091,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0092,Batteries,single,1,9,7,1,2,8,0.88,0.78,0.83
BAT_EXT_0093,Batteries,single,1,12,10,2,2,12,0.83,0.83,0.83
BAT_EXT_0094,Batteries,single,1,7,6,0,1,6,1,0.86,0.92
BAT_EXT_0095,Batteries,single,1,9,5,3,4,8,0.62,0.56,0.59
BAT_EXT_0096,Batteries,single,1,8,6,0,2,6,1,0.75,0.86
BAT_EXT_0097,Batteries,multi,1,21,14,4,7,18,0.78,0.67,0.72
BAT_EXT_0098,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0099,Batteries,single,1,9,6,3,3,9,0.67,0.67,0.67
BAT_EXT_0100,Batteries,multi,1,24,15,7,9,22,0.68,0.62,0.65
BAT_EXT_0101,Batteries,single,1,12,9,2,3,11,0.82,0.75,0.78
BAT_EXT_0102,Batteries,single,1,9,6,0,3,6,1,0.67,0.8
BAT_EXT_0103,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0104,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0105,Batteries,single,1,6,6,2,0,8,0.75,1,0.86
BAT_EXT_0106,Batteries,single,1,10,7,2,3,9,0.78,0.7,0.74
BAT_EXT_0107,Batteries,multi,1,20,0,0,20,0,0,0,0
BAT_EXT_0108,Batteries,single,1,12,8,2,4,10,0.8,0.67,0.73
BAT_EXT_0109,Batteries,single,1,8,7,1,1,8,0.88,0.88,0.88
BAT_EXT_0110,Batteries,multi,1,25,16,6,9,22,0.73,0.64,0.68
BAT_EXT_0111,Batteries,single,1,10,6,2,4,8,0.75,0.6,0.67
BAT_EXT_0112,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0113,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0114,Batteries,single,1,9,6,3,3,9,0.67,0.67,0.67
BAT_EXT_0115,Batteries,single,1,10,7,3,3,10,0.7,0.7,0.7
BAT_EXT_0116,Batteries,single,1,10,0,3,10,3,0,0,0
BAT_EXT_0117,Batteries,multi,1,24,16,5,8,21,0.76,0.67,0.71
BAT_EXT_0118,Batteries,single,1,11,7,3,4,10,0.7,0.64,0.67
BAT_EXT_0119,Batteries,single,1,12,9,2,3,11,0.82,0.75,0.78
BAT_EXT_0120,Batteries,multi,1,22,13,6,9,19,0.68,0.59,0.63
BAT_EXT_0121,Batteries,single,1,8,7,1,1,8,0.88,0.88,0.88
BAT_EXT_0122,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0123,Batteries,single,1,6,6,2,0,8,0.75,1,0.86
BAT_EXT_0124,Batteries,single,1,11,9,2,2,11,0.82,0.82,0.82
BAT_EXT_0125,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0126,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0127,Batteries,single,1,9,6,3,3,9,0.67,0.67,0.67
BAT_EXT_0128,Batteries,multi,1,32,19,9,13,28,0.68,0.59,0.63
BAT_EXT_0129,Batteries,multi,1,28,19,6,9,25,0.76,0.68,0.72
BAT_EXT_0130,Batteries,single,1,12,9,3,3,12,0.75,0.75,0.75
BAT_EXT_0131,Batteries,single,1,9,8,2,1,10,0.8,0.89,0.84
BAT_EXT_0132,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0133,Batteries,single,1,4,4,0,0,4,1,1,1
BAT_EXT_0134,Batteries,single,1,7,6,0,1,6,1,0.86,0.92
BAT_EXT_0135,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0136,Batteries,single,1,7,5,0,2,5,1,0.71,0.83
BAT_EXT_0137,Batteries,single,1,6,6,1,0,7,0.86,1,0.92
BAT_EXT_0138,Batteries,multi,1,24,16,5,8,21,0.76,0.67,0.71
BAT_EXT_0139,Batteries,single,1,9,5,2,4,7,0.71,0.56,0.63
BAT_EXT_0140,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0141,Batteries,single,1,14,10,3,4,13,0.77,0.71,0.74
BAT_EXT_0142,Batteries,single,1,8,5,2,3,7,0.71,0.62,0.66
BAT_EXT_0143,Batteries,single,1,9,7,2,2,9,0.78,0.78,0.78
BAT_EXT_0144,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0145,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0146,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0147,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0148,Batteries,single,1,7,4,0,3,4,1,0.57,0.73
BAT_EXT_0149,Batteries,single,1,7,5,2,2,7,0.71,0.71,0.71
BAT_EXT_0150,Batteries,single,1,12,8,3,4,11,0.73,0.67,0.7
BAT_EXT_0151,Batteries,single,1,4,4,0,0,4,1,1,1
BAT_EXT_0152,Batteries,single,1,12,8,2,4,10,0.8,0.67,0.73
BAT_EXT_0153,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0154,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0155,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0156,Batteries,single,1,6,6,0,0,6,1,1,1
BAT_EXT_0157,Batteries,multi,1,24,0,2,24,2,0,0,0
BAT_EXT_0158,Batteries,single,1,7,5,0,2,5,1,0.71,0.83
BAT_EXT_0159,Batteries,single,1,11,8,3,3,11,0.73,0.73,0.73
BAT_EXT_0160,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0161,Batteries,single,1,10,6,2,4,8,0.75,0.6,0.67
BAT_EXT_0162,Batteries,single,1,8,6,0,2,6,1,0.75,0.86
BAT_EXT_0163,Batteries,multi,1,23,0,2,23,2,0,0,0
BAT_EXT_0164,Batteries,single,1,11,8,2,3,10,0.8,0.73,0.76
BAT_EXT_0165,Batteries,single,1,8,6,2,2,8,0.75,0.75,0.75
BAT_EXT_0166,Batteries,single,1,12,7,3,5,10,0.7,0.58,0.63
BAT_EXT_0167,Batteries,single,1,9,6,2,3,8,0.75,0.67,0.71
BAT_EXT_0168,Batteries,single,1,6,6,0,0,6,1,1,1
