query_id,domain,question_type,run,method,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0001,Superalloys,single,1,w/o Structure,0.8576,0.7907,0.8274,0.854
SUP_QA_0002,Superalloys,multi,1,w/o Structure,0.9471,0.9507,0.992,0.9207
SUP_QA_0003,Superalloys,multi,1,w/o Structure,0.7326,0.7177,0.5929,0.6596
SUP_QA_0004,Superalloys,multi,1,w/o Structure,0.6488,0.7293,0.887,0.8296
SUP_QA_0005,Superalloys,single,1,w/o Structure,0.6695,0.6847,0.7599,0.6814
SUP_QA_0006,Superalloys,single,1,w/o Structure,0.955,0.995,0.8471,0.9681
SUP_QA_0007,Superalloys,single,1,w/o Structure,0.995,0.9752,0.9704,0.9511
SUP_QA_0008,Superalloys,single,1,w/o Structure,0.9819,0.9309,0.995,0.9193
SUP_QA_0009,Superalloys,single,1,w/o Structure,0.9845,0.9794,0.995,0.9322
SUP_QA_0010,Superalloys,single,1,w/o Structure,0.8871,0.8491,0.9697,0.8828
SUP_QA_0011,Superalloys,single,1,w/o Structure,0.9754,0.7852,0.995,0.8527
SUP_QA_0012,Superalloys,single,1,w/o Structure,0.813,0.8338,0.8594,0.8192
SUP_QA_0013,Superalloys,multi,1,w/o Structure,0.8215,0.7286,0.8167,0.8529
SUP_QA_0014,Superalloys,single,1,w/o Structure,0.926,0.7564,0.9542,0.836
SUP_QA_0015,Superalloys,single,1,w/o Structure,0.9554,0.8868,0.9678,0.9196
SUP_QA_0016,Superalloys,single,1,w/o Structure,0.9115,0.793,0.7731,0.7606
SUP_QA_0017,Superalloys,single,1,w/o Structure,0.9935,0.9792,0.9245,0.9087
SUP_QA_0018,Superalloys,single,1,w/o Structure,0.9744,0.995,0.9705,0.9369
SUP_QA_0019,Superalloys,single,1,w/o Structure,0.995,0.9701,0.995,0.9281
SUP_QA_0020,Superalloys,single,1,w/o Structure,0.9628,0.9515,0.995,0.9101
SUP_QA_0021,Superalloys,multi,1,w/o Structure,0.995,0.9653,0.9896,0.928
SUP_QA_0022,Superalloys,single,1,w/o Structure,0.8935,0.7883,0.8368,0.8672
SUP_QA_0023,Superalloys,single,1,w/o Structure,0.9266,0.995,0.995,0.9317
SUP_QA_0024,Superalloys,single,1,w/o Structure,0.8929,0.8694,0.9346,0.8272
SUP_QA_0025,Superalloys,single,1,w/o Structure,0.9383,0.995,0.995,0.9681
SUP_QA_0026,Superalloys,single,1,w/o Structure,0.9103,0.995,0.9818,0.9275
SUP_QA_0027,Superalloys,multi,1,w/o Structure,0.6785,0.6603,0.8313,0.6171
SUP_QA_0028,Superalloys,multi,1,w/o Structure,0.9607,0.9326,0.9735,0.9626
SUP_QA_0029,Superalloys,single,1,w/o Structure,0.8711,0.7993,0.995,0.8934
SUP_QA_0030,Superalloys,multi,1,w/o Structure,0.8029,0.6817,0.8061,0.739
SUP_QA_0031,Superalloys,single,1,w/o Structure,0.995,0.995,0.995,0.9262
SUP_QA_0032,Superalloys,single,1,w/o Structure,0.8325,0.7582,0.9685,0.9681
SUP_QA_0033,Superalloys,single,1,w/o Structure,0.8097,0.7705,0.9137,0.7926
SUP_QA_0034,Superalloys,multi,1,w/o Structure,0.9669,0.9856,0.8128,0.9331
SUP_QA_0035,Superalloys,single,1,w/o Structure,0.9697,0.9731,0.995,0.9312
SUP_QA_0036,Superalloys,single,1,w/o Structure,0.9797,0.995,0.995,0.9431
SUP_QA_0037,Superalloys,single,1,w/o Structure,0.9371,0.995,0.995,0.9586
SUP_QA_0038,Superalloys,single,1,w/o Structure,0.9922,0.995,0.9884,0.9681
SUP_QA_0039,Superalloys,single,1,w/o Structure,0.9866,0.7806,0.8858,0.8769
SUP_QA_0040,Superalloys,multi,1,w/o Structure,0.9761,0.995,0.9458,0.8777
SUP_QA_0041,Superalloys,single,1,w/o Structure,0.9369,0.9665,0.9346,0.9681
SUP_QA_0042,Superalloys,single,1,w/o Structure,0.9307,0.9214,0.995,0.9111
SUP_QA_0043,Superalloys,single,1,w/o Structure,0.7953,0.728,0.788,0.8468
SUP_QA_0044,Superalloys,multi,1,w/o Structure,0.9746,0.804,0.9428,0.9402
SUP_QA_0045,Superalloys,single,1,w/o Structure,0.7617,0.7168,0.7823,0.7753
SUP_QA_0046,Superalloys,single,1,w/o Structure,0.6511,0.5572,0.6792,0.6253
SUP_QA_0047,Superalloys,multi,1,w/o Structure,0.9441,0.7967,0.9738,0.8959
SUP_QA_0048,Superalloys,single,1,w/o Structure,0.995,0.9297,0.995,0.9425
SUP_QA_0049,Superalloys,multi,1,w/o Structure,0.8398,0.7918,0.9534,0.8293
SUP_QA_0050,Superalloys,single,1,w/o Structure,0.9894,0.9284,0.995,0.898
SUP_QA_0051,Superalloys,single,1,w/o Structure,0.9512,0.9542,0.995,0.8809
SUP_QA_0052,Superalloys,single,1,w/o Structure,0.81,0.7745,0.748,0.881
SUP_QA_0053,Superalloys,single,1,w/o Structure,0.9155,0.7793,0.9732,0.9556
SUP_QA_0054,Superalloys,multi,1,w/o Structure,0.9478,0.8904,0.9799,0.9108
SUP_QA_0055,Superalloys,single,1,w/o Structure,0.8215,0.7542,0.876,0.8719
SUP_QA_0056,Superalloys,single,1,w/o Structure,0.8638,0.8773,0.9356,0.811
SUP_QA_0057,Superalloys,single,1,w/o Structure,0.8278,0.8786,0.8811,0.8173
SUP_QA_0058,Superalloys,single,1,w/o Structure,0.8341,0.8732,0.89,0.9071
SUP_QA_0059,Superalloys,single,1,w/o Structure,0.995,0.9673,0.983,0.9383
SUP_QA_0060,Superalloys,single,1,w/o Structure,0.7801,0.6687,0.8321,0.7045
SUP_QA_0061,Superalloys,single,1,w/o Structure,0.7942,0.8371,0.9222,0.8421
SUP_QA_0062,Superalloys,multi,1,w/o Structure,0.5976,0.4615,0.7278,0.5787
SUP_QA_0063,Superalloys,single,1,w/o Structure,0.9871,0.995,0.995,0.9681
SUP_QA_0064,Superalloys,multi,1,w/o Structure,0.9725,0.9597,0.995,0.9247
SUP_QA_0065,Superalloys,single,1,w/o Structure,0.9923,0.995,0.995,0.9503
